Artist Name,Artist ID,Artist_Popularity,Artist_Followers,Artist Genre
Bright Eyes,5o206eFLx38glA2bb4zqIU,64.0,430321.0,"anti-folk,indie folk,indie pop,indie rock,melancholia,omaha indie,slow core,stomp and holler"
Lee Morgan,38C3okxv3fyyOIQUVPCdGX,51.0,83706.0,"avant-garde jazz,bebop,big band,contemporary post-bop,cool jazz,free jazz,hard bop,jazz,jazz funk,jazz trumpet,soul jazz,vocal jazz"
Emmylou Harris,5s6TJEuHTr9GR894wc6VfP,65.0,221163.0,"country rock,folk,folk rock,lilith,melancholia,mellow gold,roots rock,singer-songwriter,traditional folk"
Tina Turner,1zuJe6b1roixEKMOtyrEak,72.0,1855039.0,"disco,europop,mellow gold,new wave pop,soft rock"
Garbage,6S0GHTqz5sxK5f9HtLXn9q,62.0,725129.0,"alternative dance,alternative rock,dance pop,electronic rock,electronica,lilith,permanent wave,pop rock,post-grunge,rock"
Sarah Vaughan,1bgyxtWjZwA5PQlDsvs9b8,57.0,406756.0,"adult standards,bebop,cool jazz,jazz,lounge,soul,swing,torch song,vocal jazz"
Dionne Warwick,2JSjCHK79gdaiPWdKiNUNp,66.0,484193.0,"adult standards,brill building pop,disco,lounge,mellow gold,motown,quiet storm,soft rock,soul"
Squeeze,6Jrj26oAY96EEC2lqC6fua,57.0,180514.0,"art rock,beatlesque,dance rock,new romantic,new wave,new wave pop,power pop,pub rock,rock"
Bud Powell,570vCzcespB48HIQyTbDO6,46.0,63794.0,"avant-garde jazz,bebop,contemporary post-bop,cool jazz,free jazz,hard bop,jazz,jazz piano,soul jazz,stride,swing,vocal jazz"
Cat Power,6G7OerKc3eBO9sVkRNopFC,63.0,541261.0,"anti-folk,art pop,freak folk,indie pop,indie rock,melancholia,singer-songwriter,slow core"
Madness,4AYkFtEBnNnGuoo8HaHErd,66.0,448598.0,"dance rock,new romantic,ska,ska revival"
Keith Jarrett,0F3Aew9DSd6fb6192K1K0Y,60.0,198121.0,"contemporary jazz,contemporary post-bop,cool jazz,ecm-style jazz,jazz,jazz fusion,jazz piano"
The Hives,4DToQR3aKrHQSSRzSz8Nzt,63.0,523560.0,"alternative rock,dance-punk,garage rock,garage rock revival,modern rock,new rave,rock,swedish garage rock,swedish hard rock,swedish indie rock"
50 Cent,3q7HBObVc0L8jNeTe5Gofh,84.0,6071611.0,"east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap"
Laura Nyro,6QDWC6QeGhvCWCv3nUJwoV,42.0,35207.0,"brill building pop,folk,folk rock,singer-songwriter,traditional folk"
Horace Silver,5ZATfKurLqflrBhv2FLht5,52.0,71092.0,"bebop,big band,contemporary post-bop,cool jazz,free jazz,hard bop,jazz,jazz funk,jazz fusion,jazz piano,soul jazz,vocal jazz"
Leftfield,72hqBMsw7x5jnfxxwkii8L,52.0,133485.0,"big beat,classic progressive house,downtempo,electronica,trip hop"
The Avalanches,3C8RpaI3Go0yFF9whvKoED,62.0,289065.0,"alternative dance,australian alternative rock,australian dance,big beat,collage pop,electronica,indietronica,new rave,psychedelic hip hop"
Britney Spears,26dSoYclwsYLMAKD3tpOr4,83.0,7395939.0,"dance pop,pop,pop rap,post-teen pop"
John Cougar Mellencamp,3lPQ2Fk5JOwGWAF3ORFCqH,71.0,836387.0,"album rock,classic rock,country rock,folk rock,heartland rock,mellow gold,pop rock,rock,singer-songwriter,soft rock"
The Monkees,320EPCSEezHt1rtbfwH6Ck,68.0,652963.0,"beatlesque,brill building pop,bubblegum pop,classic rock,country rock,folk rock,mellow gold,psychedelic rock,rock,soft rock,sunshine pop"
Percy Sledge,3rRmDmzPcAFwcUDvG5gBqO,59.0,306099.0,"brill building pop,soul,southern soul"
The Platters,6KWcxMWVNVIYbdOQyJtsSy,63.0,408988.0,"adult standards,brill building pop,doo-wop,lounge,rock-and-roll,rockabilly"
Goldie,5ZCFIYE6VgSzDX0AZcDwPx,38.0,214.0,
Midnight Oil,72KyoXzp0NOQij6OcmZUxk,63.0,469334.0,"australian rock,dance rock"
Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,75.0,2290238.0,"dance pop,hip pop,neo soul,pop,pop rap,r&b,urban contemporary"
Black Flag,5Mhs3Eu8lU6sRCtRYsmABV,56.0,363691.0,"alternative rock,hardcore punk,punk"
Jeff Beck,0AD4odMWVQ2wUSlgxOB5Rl,58.0,425247.0,"album rock,art rock,blues,blues rock,british blues,classic rock,electric blues,hard rock,instrumental rock,jazz fusion,psychedelic rock,rock,roots rock,symphonic rock"
Nas,20qISvAhX20dpIbOOzGK3q,77.0,1932661.0,"conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,queens hip hop,rap"
Gene Vincent,7lKaTIgVek1R2lqpCulQmq,43.0,30544.0,"rock-and-roll,rockabilly,surf music"
Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,58.0,148102.0,"alternative rock,anti-folk,art pop,art rock,chamber pop,e6fi,freak folk,indie folk,indie pop,indie rock,lo-fi,melancholia,metropopolis,permanent wave,slow core,stomp and holler,tape club"
Culture Club,6kz53iCdBSqhQCZ21CoLcc,67.0,838711.0,"dance rock,disco,europop,mellow gold,new romantic,new wave,new wave pop,soft rock,synthpop"
Minutemen,0z6zRFzl5njXWLVAisXQBz,51.0,92841.0,"alternative rock,art rock,dance rock,experimental,experimental rock,gbvfi,hardcore punk,post-hardcore,post-punk,punk"
Simple Minds,6hN9F0iuULZYWXppob22Aj,72.0,1058009.0,"art rock,dance rock,mellow gold,new romantic,new wave,new wave pop,rock,scottish new wave,soft rock,synthpop"
Bad Brains,1oVj9JmPUPg4SQ2uerV2xc,55.0,247153.0,"alternative rock,dc hardcore,hardcore punk,nyhc,post-hardcore,punk,ska punk"
Carl Perkins,5hIClg6noTaCzMu2s5wp4f,51.0,97816.0,"rock-and-roll,rockabilly"
Laurie Anderson,5hqB3Fxgin9YGYa0mIGf1G,46.0,70765.0,"art pop,art rock,bow pop,compositional ambient,experimental,experimental pop,experimental vocal,laboratorio"
